"5. Ehdokkaiden saamat äänimäärät suuruusjärjestyksessä sekä vertausluku"

"Ehdokas";"Äänimäärä";"Vertausluku";"Valintatieto"
"Drotár Kristiina / KD / Uudenmaan vaalipiiri";130;550.000;3
"Ronkainen Petri / KD / Uudenmaan vaalipiiri";128;528.846;3
"Suuronen Janne / KD / Uudenmaan vaalipiiri";111;509.259;3
"Laato Ester / KD / Uudenmaan vaalipiiri";111;491.071;3
"Harju Jorma / KD / Uudenmaan vaalipiiri";109;474.138;3
"Nykänen Kimmo / KD / Uudenmaan vaalipiiri";88;458.333;3
"Ounila Marjut / KD / Uudenmaan vaalipiiri";77;443.548;3
"Zakarian Lala / KD / Uudenmaan vaalipiiri";67;429.688;3
"Kaunismaa Juha / KD / Uudenmaan vaalipiiri";62;416.667;3
"Krogius Edward / KD / Uudenmaan vaalipiiri";57;404.412;3
"Bucktman Seija / KD / Uudenmaan vaalipiiri";42;392.857;3
"Stubb Alexander / KOK / Uudenmaan vaalipiiri";27129;124754.000;1
"Harkimo Harry (Hjallis) / KOK / Uudenmaan vaalipiiri";11416;62377.000;1
"Mäkelä Outi / KOK / Uudenmaan vaalipiiri";6598;41584.667;1
"Lepomäki Elina / KOK / Uudenmaan vaalipiiri";6541;31188.500;1
"Tolvanen Kari / KOK / Uudenmaan vaalipiiri";6531;24950.800;1
"Multala Sari / KOK / Uudenmaan vaalipiiri";6118;20792.333;1
"Mykkänen Kai / KOK / Uudenmaan vaalipiiri";5260;17822.000;1
"Lauslahti Sanna / KOK / Uudenmaan vaalipiiri";4576;15594.250;1
"Lehti Eero / KOK / Uudenmaan vaalipiiri";4385;13861.556;1
"Kauma Pia / KOK / Uudenmaan vaalipiiri";4111;12475.400;2
"Laiho Mia / KOK / Uudenmaan vaalipiiri";3952;11341.273;3
"Vahasalo Raija / KOK / Uudenmaan vaalipiiri";3484;10396.167;3
"Kaleva Atte / KOK / Uudenmaan vaalipiiri";2656;9596.462;3
"Sjöblom Ruut / KOK / Uudenmaan vaalipiiri";2583;8911.000;3
"Vestman Heikki / KOK / Uudenmaan vaalipiiri";2382;8316.933;3
"Graeffe Petri / KOK / Uudenmaan vaalipiiri";2370;7797.125;3
"Kiijärvi Laura / KOK / Uudenmaan vaalipiiri";2282;7338.471;3
"Sundberg Tuija / KOK / Uudenmaan vaalipiiri";2076;6930.778;3
"Knaster Anne / KOK / Uudenmaan vaalipiiri";1959;6566.000;3
"Erämaja Elias / KOK / Uudenmaan vaalipiiri";1937;6237.700;3
"Konttas Ari / KOK / Uudenmaan vaalipiiri";1703;5940.667;3
"Niemi Marika / KOK / Uudenmaan vaalipiiri";1636;5670.636;3
"Vuornos Henrik / KOK / Uudenmaan vaalipiiri";1482;5424.087;3
"Orlando Carita / KOK / Uudenmaan vaalipiiri";1476;5198.083;3
"Mäkinen Tapani / KOK / Uudenmaan vaalipiiri";1424;4990.160;3
"Tuomaala Perttu / KOK / Uudenmaan vaalipiiri";1190;4798.231;3
"Välimäki Mia / KOK / Uudenmaan vaalipiiri";1157;4620.519;3
"Edelmann Jan / KOK / Uudenmaan vaalipiiri";1155;4455.500;3
"Orpana Anitta / KOK / Uudenmaan vaalipiiri";1046;4301.862;3
"Mäkelä Ari / KOK / Uudenmaan vaalipiiri";1014;4158.467;3
"Kaira Lauri / KOK / Uudenmaan vaalipiiri";923;4024.323;3
"Helin Anna / KOK / Uudenmaan vaalipiiri";905;3898.563;3
"Patshijew Ann-Mari / KOK / Uudenmaan vaalipiiri";544;3780.424;3
"Ala-Reinikka Tapani / KOK / Uudenmaan vaalipiiri";399;3669.235;3
"Ahlgren Jukka / KOK / Uudenmaan vaalipiiri";354;3564.400;3
"Vanhanen Matti / KESK / Uudenmaan vaalipiiri";11304;59749.000;1
"Kaikkonen Antti / KESK / Uudenmaan vaalipiiri";10617;29874.500;1
"Berner Anne / KESK / Uudenmaan vaalipiiri";9691;19916.333;1
"Viljanen Eerikki / KESK / Uudenmaan vaalipiiri";2902;14937.250;1
"Särkiniemi Seppo / KESK / Uudenmaan vaalipiiri";2874;11949.800;2
"Metsäkivi Sari / KESK / Uudenmaan vaalipiiri";2421;9958.167;3
"Edry Tarja / KESK / Uudenmaan vaalipiiri";2263;8535.571;3
"Lankia Outi / KESK / Uudenmaan vaalipiiri";2155;7468.625;3
"Kontro Lauri / KESK / Uudenmaan vaalipiiri";1363;6638.778;3
"Frantsi-Lankia Marjut / KESK / Uudenmaan vaalipiiri";1261;5974.900;3
"Kantola Iikka / KESK / Uudenmaan vaalipiiri";1206;5431.727;3
"Lehtimäki Jukka / KESK / Uudenmaan vaalipiiri";1169;4979.083;3
"Kosonen Jyrki / KESK / Uudenmaan vaalipiiri";982;4596.077;3
"Kemppainen Katariina / KESK / Uudenmaan vaalipiiri";948;4267.786;3
"Hirvaskoski Johannes / KESK / Uudenmaan vaalipiiri";748;3983.267;3
"Merihaara Olavi / KESK / Uudenmaan vaalipiiri";712;3734.313;3
"Viro Päivi / KESK / Uudenmaan vaalipiiri";675;3514.647;3
"Mäkinen Seppo / KESK / Uudenmaan vaalipiiri";632;3319.389;3
"Salmi Joonas / KESK / Uudenmaan vaalipiiri";602;3144.684;3
"Rusi Alpo / KESK / Uudenmaan vaalipiiri";509;2987.450;3
"Kemell Ann-Mari / KESK / Uudenmaan vaalipiiri";492;2845.190;3
"Sarpola Arja / KESK / Uudenmaan vaalipiiri";467;2715.864;3
"Naskali Nina / KESK / Uudenmaan vaalipiiri";466;2597.783;3
"Kilpeläinen Antti / KESK / Uudenmaan vaalipiiri";450;2489.542;3
"Karjalainen Pirkko / KESK / Uudenmaan vaalipiiri";429;2389.960;3
"Helkkula Vesa / KESK / Uudenmaan vaalipiiri";377;2298.038;3
"Ahonen Linda / KESK / Uudenmaan vaalipiiri";365;2212.926;3
"Kuokkanen Jasi / KESK / Uudenmaan vaalipiiri";314;2133.893;3
"Kekkonen Ilmari / KESK / Uudenmaan vaalipiiri";303;2060.310;3
"Oehlandt Eeva / KESK / Uudenmaan vaalipiiri";251;1991.633;3
"Savolainen Mariitta / KESK / Uudenmaan vaalipiiri";233;1927.387;3
"Tihveräinen Juhani / KESK / Uudenmaan vaalipiiri";157;1867.156;3
"Kivivuori Esa / KESK / Uudenmaan vaalipiiri";148;1810.576;3
"Isberg Jeppe / KESK / Uudenmaan vaalipiiri";132;1757.324;3
"Kelkka Teemu / KESK / Uudenmaan vaalipiiri";131;1707.114;3
"Uotila Kari / VAS / Uudenmaan vaalipiiri";3152;22698.000;1
"Saramo Jussi / VAS / Uudenmaan vaalipiiri";2881;11349.000;2
"Lohikoski Pia / VAS / Uudenmaan vaalipiiri";2411;7566.000;3
"Lindell Armi / VAS / Uudenmaan vaalipiiri";1341;5674.500;3
"Eerola Antero / VAS / Uudenmaan vaalipiiri";1276;4539.600;3
"Ahlfors Tiina / VAS / Uudenmaan vaalipiiri";1237;3783.000;3
"Wessman Jaana / VAS / Uudenmaan vaalipiiri";1079;3242.571;3
"Aittakumpu Birgit / VAS / Uudenmaan vaalipiiri";796;2837.250;3
"Lehto Juho / VAS / Uudenmaan vaalipiiri";719;2522.000;3
"Hyrske Oula / VAS / Uudenmaan vaalipiiri";704;2269.800;3
"Aromaa Juuso / VAS / Uudenmaan vaalipiiri";650;2063.455;3
"Lindén Jouni / VAS / Uudenmaan vaalipiiri";618;1891.500;3
"Kotila Pirkko / VAS / Uudenmaan vaalipiiri";531;1746.000;3
"Raunisalo Riika / VAS / Uudenmaan vaalipiiri";513;1621.286;3
"Jääskeläinen Jari / VAS / Uudenmaan vaalipiiri";501;1513.200;3
"Laukkanen Erkki / VAS / Uudenmaan vaalipiiri";479;1418.625;3
"Kinnunen Elina / VAS / Uudenmaan vaalipiiri";410;1335.176;3
"Kivimäki Kaarlo / VAS / Uudenmaan vaalipiiri";377;1261.000;3
"Pekonen Sara / VAS / Uudenmaan vaalipiiri";377;1194.632;3
"Dachinger Joonas / VAS / Uudenmaan vaalipiiri";316;1134.900;3
"Pulkkinen Tapio / VAS / Uudenmaan vaalipiiri";251;1080.857;3
"Karhula Jukka / VAS / Uudenmaan vaalipiiri";243;1031.727;3
"Gröndahl Heidi / VAS / Uudenmaan vaalipiiri";216;986.870;3
"Koskenalho Marja / VAS / Uudenmaan vaalipiiri";200;945.750;3
"Hautakangas Tanja / VAS / Uudenmaan vaalipiiri";199;907.920;3
"Nyman Daniel / VAS / Uudenmaan vaalipiiri";188;873.000;3
"Hyttinen Paula / VAS / Uudenmaan vaalipiiri";150;840.667;3
"Karinen Ville / VAS / Uudenmaan vaalipiiri";149;810.643;3
"Tanskanen Veikko / VAS / Uudenmaan vaalipiiri";146;782.690;3
"Gyllenbögel Riitta / VAS / Uudenmaan vaalipiiri";113;756.600;3
"Uotinen Miikka / VAS / Uudenmaan vaalipiiri";113;732.194;3
"Nevanlinna Anu / VAS / Uudenmaan vaalipiiri";111;709.313;3
"Salolahti Anne-Maria / VAS / Uudenmaan vaalipiiri";109;687.818;3
"Ronkola Sami / VAS / Uudenmaan vaalipiiri";89;667.588;3
"Moisala Aarni / VAS / Uudenmaan vaalipiiri";53;648.514;3
"Haglund Carl / RKP / Uudenmaan vaalipiiri";21468;53232.000;1
"Blomqvist Thomas / RKP / Uudenmaan vaalipiiri";6443;26616.000;1
"Nylander Mikaela / RKP / Uudenmaan vaalipiiri";5422;17744.000;1
"Adlercreutz Anders / RKP / Uudenmaan vaalipiiri";3337;13308.000;1
"Rehn-Kivi Veronica / RKP / Uudenmaan vaalipiiri";2451;10646.400;2
"Liljeström Christel / RKP / Uudenmaan vaalipiiri";1681;8872.000;3
"Abrahamsson Anna / RKP / Uudenmaan vaalipiiri";1136;7604.571;3
"af Hällström Nina / RKP / Uudenmaan vaalipiiri";774;6654.000;3
"Wickström Henrik / RKP / Uudenmaan vaalipiiri";679;5914.667;3
"Andersson Otto / RKP / Uudenmaan vaalipiiri";670;5323.200;3
"Blomqvist Elin / RKP / Uudenmaan vaalipiiri";648;4839.273;3
"Elfgren Thomas / RKP / Uudenmaan vaalipiiri";639;4436.000;3
"Karlsson Patrik / RKP / Uudenmaan vaalipiiri";540;4094.769;3
"Andersson Niklas / RKP / Uudenmaan vaalipiiri";529;3802.286;3
"Bender Ann-Katrin / RKP / Uudenmaan vaalipiiri";516;3548.800;3
"Sundell Pia-Lisa / RKP / Uudenmaan vaalipiiri";488;3327.000;3
"Öhman Sten / RKP / Uudenmaan vaalipiiri";477;3131.294;3
"Eriksson Mikael / RKP / Uudenmaan vaalipiiri";470;2957.333;3
"Aintila Anna / RKP / Uudenmaan vaalipiiri";469;2801.684;3
"Mickos Christina / RKP / Uudenmaan vaalipiiri";455;2661.600;3
"Lindgård Stina / RKP / Uudenmaan vaalipiiri";447;2534.857;3
"Björklöf Filip / RKP / Uudenmaan vaalipiiri";360;2419.636;3
"Zahir Hatam Midiya / RKP / Uudenmaan vaalipiiri";350;2314.435;3
"Kankkonen Stig / RKP / Uudenmaan vaalipiiri";345;2218.000;3
"Mether Cosmo / RKP / Uudenmaan vaalipiiri";326;2129.280;3
"Heir Björn / RKP / Uudenmaan vaalipiiri";317;2047.385;3
"Sundqvist Björn / RKP / Uudenmaan vaalipiiri";310;1971.556;3
"Mannfolk Niklas / RKP / Uudenmaan vaalipiiri";277;1901.143;3
"Näkkäläjärvi Klemetti / RKP / Uudenmaan vaalipiiri";271;1835.586;3
"Jern Mikael / RKP / Uudenmaan vaalipiiri";199;1774.400;3
"Nyberg-Lindholm Diana / RKP / Uudenmaan vaalipiiri";184;1717.161;3
"Grönroos Niklas / RKP / Uudenmaan vaalipiiri";150;1663.500;3
"Ljungqvist Tatiana (Tanja) / RKP / Uudenmaan vaalipiiri";144;1613.091;3
"Kujala Nicholas / RKP / Uudenmaan vaalipiiri";138;1565.647;3
"Portin Maria (Mia) / RKP / Uudenmaan vaalipiiri";122;1520.914;3
"Toivola Jani / VIHR / Uudenmaan vaalipiiri";6557;52034.000;1
"Kasvi Jyrki / VIHR / Uudenmaan vaalipiiri";4991;26017.000;1
"Karimäki Johanna / VIHR / Uudenmaan vaalipiiri";4341;17344.667;1
"Hopsu Inka / VIHR / Uudenmaan vaalipiiri";3740;13008.500;2
"Kauppinen Sirpa (Siru) / VIHR / Uudenmaan vaalipiiri";3284;10406.800;3
"Elo Tiina / VIHR / Uudenmaan vaalipiiri";2860;8672.333;3
"Hyrkkö Saara / VIHR / Uudenmaan vaalipiiri";2072;7433.429;3
"Koponen Noora / VIHR / Uudenmaan vaalipiiri";1816;6504.250;3
"Mattila Marketta / VIHR / Uudenmaan vaalipiiri";1809;5781.556;3
"Kopakkala Aku / VIHR / Uudenmaan vaalipiiri";1709;5203.400;3
"Juurikkala Timo / VIHR / Uudenmaan vaalipiiri";1648;4730.364;3
"Rahkonen Susanna / VIHR / Uudenmaan vaalipiiri";1565;4336.167;3
"Nevalainen Mari / VIHR / Uudenmaan vaalipiiri";1388;4002.615;3
"Sirviö Fredrik (Fredu) / VIHR / Uudenmaan vaalipiiri";1134;3716.714;3
"Wehka-aho Emmi / VIHR / Uudenmaan vaalipiiri";1036;3468.933;3
"Rämö Eve / VIHR / Uudenmaan vaalipiiri";1006;3252.125;3
"Omenainen Tarja / VIHR / Uudenmaan vaalipiiri";929;3060.824;3
"Nordström Paula / VIHR / Uudenmaan vaalipiiri";869;2890.778;3
"Reinikainen Marko / VIHR / Uudenmaan vaalipiiri";807;2738.632;3
"Kostilainen Anniina / VIHR / Uudenmaan vaalipiiri";800;2601.700;3
"Bulut Emil / VIHR / Uudenmaan vaalipiiri";797;2477.810;3
"Hokkanen Teemu / VIHR / Uudenmaan vaalipiiri";749;2365.182;3
"Lintula Tiia / VIHR / Uudenmaan vaalipiiri";730;2262.348;3
"Lybeck Joakim (Jocke) / VIHR / Uudenmaan vaalipiiri";707;2168.083;3
"Korpela Aki / VIHR / Uudenmaan vaalipiiri";585;2081.360;3
"Johansson Birgitta / VIHR / Uudenmaan vaalipiiri";566;2001.308;3
"Meros Päivi / VIHR / Uudenmaan vaalipiiri";542;1927.185;3
"Lahtinen Eeva / VIHR / Uudenmaan vaalipiiri";520;1858.357;3
"Drake Markus / VIHR / Uudenmaan vaalipiiri";449;1794.276;3
"Linnainmäki Joel / VIHR / Uudenmaan vaalipiiri";445;1734.467;3
"Lappalainen Jarno / VIHR / Uudenmaan vaalipiiri";370;1678.516;3
"Chanth Tatu / VIHR / Uudenmaan vaalipiiri";359;1626.063;3
"Sundström Oskari / VIHR / Uudenmaan vaalipiiri";331;1576.788;3
"Merikukka Suvi / VIHR / Uudenmaan vaalipiiri";282;1530.412;3
"Virtala Timo / VIHR / Uudenmaan vaalipiiri";241;1486.686;3
"Ylönen Iida / SKP / Uudenmaan vaalipiiri";217;1363.000;3
"Suonperä Arjo / SKP / Uudenmaan vaalipiiri";163;681.500;3
"Kähmi Sippo / SKP / Uudenmaan vaalipiiri";98;454.333;3
"Viitaniemi Arto / SKP / Uudenmaan vaalipiiri";93;340.750;3
"Dahl Rita / SKP / Uudenmaan vaalipiiri";89;272.600;3
"Sandberg Tiina / SKP / Uudenmaan vaalipiiri";75;194.714;3
"Sorvari Aatu / SKP / Uudenmaan vaalipiiri";71;170.375;3
"Kurttila Heikki / SKP / Uudenmaan vaalipiiri";66;151.444;3
"Manner Hannele / SKP / Uudenmaan vaalipiiri";55;136.300;3
"Kähmi Ossi / SKP / Uudenmaan vaalipiiri";53;123.909;3
"Vansén Mailis / SKP / Uudenmaan vaalipiiri";43;104.846;3
"Tossavainen Reijo / SKP / Uudenmaan vaalipiiri";40;97.357;3
"Mångård Johan / SKP / Uudenmaan vaalipiiri";40;90.867;3
"Huldén Larry / SKP / Uudenmaan vaalipiiri";32;80.176;3
"Hautala Irma / SKP / Uudenmaan vaalipiiri";31;75.722;3
"Vesterinen Marja / SKP / Uudenmaan vaalipiiri";23;71.737;3
"Lievemaa Tommi / STP / Uudenmaan vaalipiiri";86;227.167;3
"Wahrman Kalevi / STP / Uudenmaan vaalipiiri";49;113.583;3
"Rytkönen Reijo / STP / Uudenmaan vaalipiiri";39;85.188;3
"Harju Hannu / KTP / Uudenmaan vaalipiiri";99;262.000;3
"Salmi Keijo / KTP / Uudenmaan vaalipiiri";53;131.000;3
"Pennanen Anneli / KTP / Uudenmaan vaalipiiri";38;87.333;3
"Selenius Jouko / KTP / Uudenmaan vaalipiiri";20;65.500;3
"Nieminen Timo / KTP / Uudenmaan vaalipiiri";20;52.400;3
"Meriläinen Otto / KTP / Uudenmaan vaalipiiri";18;43.667;3
"Juutilainen-Kelaranta Arvo / KTP / Uudenmaan vaalipiiri";14;37.429;3
"Hirvisaari James / Muutos2011 / Uudenmaan vaalipiiri";1115;3473.000;3
"Leino Jari / Muutos2011 / Uudenmaan vaalipiiri";268;1736.500;3
"Kaakkola Marjukka / Muutos2011 / Uudenmaan vaalipiiri";234;1157.667;3
"Päivinen Mitja / Muutos2011 / Uudenmaan vaalipiiri";220;868.250;3
"Järnefelt Richard / Muutos2011 / Uudenmaan vaalipiiri";160;694.600;3
"Hassinen Eila / Muutos2011 / Uudenmaan vaalipiiri";138;578.833;3
"Kaskiharju Jouni / Muutos2011 / Uudenmaan vaalipiiri";131;496.143;3
"Munne Martti / Muutos2011 / Uudenmaan vaalipiiri";123;434.125;3
"Eturautti Kyuu / Muutos2011 / Uudenmaan vaalipiiri";100;385.889;3
"Fryckman Peter / Muutos2011 / Uudenmaan vaalipiiri";89;347.300;3
"Ruusulampi Jaakko / Muutos2011 / Uudenmaan vaalipiiri";88;315.727;3
"Ljungqvist Kristina / Muutos2011 / Uudenmaan vaalipiiri";87;289.417;3
"Kärnä Joonas / Muutos2011 / Uudenmaan vaalipiiri";86;267.154;3
"Sysimetsä Ilkka / Muutos2011 / Uudenmaan vaalipiiri";84;248.071;3
"Sirainen Liisa / Muutos2011 / Uudenmaan vaalipiiri";79;231.533;3
"Rautanen Niko / Muutos2011 / Uudenmaan vaalipiiri";74;217.063;3
"Bergh Alla / Muutos2011 / Uudenmaan vaalipiiri";70;204.294;3
"Tanskanen Hannu / Muutos2011 / Uudenmaan vaalipiiri";69;192.944;3
"Lempinen Anne / Muutos2011 / Uudenmaan vaalipiiri";55;182.789;3
"Vuoristo Markus / Muutos2011 / Uudenmaan vaalipiiri";42;173.650;3
"Järvi Erik Andrei / Muutos2011 / Uudenmaan vaalipiiri";39;165.381;3
"Rautiainen Petri / Muutos2011 / Uudenmaan vaalipiiri";31;157.864;3
"Häkkinen Martti / Muutos2011 / Uudenmaan vaalipiiri";31;151.000;3
"Sirén-Kaplas Johanna / Muutos2011 / Uudenmaan vaalipiiri";21;144.708;3
"Kielosto Samuel / Muutos2011 / Uudenmaan vaalipiiri";20;138.920;3
"Säkkinen Teppo / Muutos2011 / Uudenmaan vaalipiiri";19;133.577;3
"Parkkonen Sami / IP / Uudenmaan vaalipiiri";377;2131.000;3
"Hagman Marita / IP / Uudenmaan vaalipiiri";195;1065.500;3
"Lyytikäinen Juho / IP / Uudenmaan vaalipiiri";154;710.333;3
"Zarrouk Mira / IP / Uudenmaan vaalipiiri";113;532.750;3
"Loikkanen Johnny / IP / Uudenmaan vaalipiiri";112;426.200;3
"Kukkonen Antti / IP / Uudenmaan vaalipiiri";110;355.167;3
"Andersson Ronnie James / IP / Uudenmaan vaalipiiri";99;304.429;3
"Nygård Mauri / IP / Uudenmaan vaalipiiri";91;266.375;3
"Tuokko Jarmo / IP / Uudenmaan vaalipiiri";81;236.778;3
"Iso-Peura Ilpo / IP / Uudenmaan vaalipiiri";81;213.100;3
"Turunen Samppa / IP / Uudenmaan vaalipiiri";79;193.727;3
"Runtti Markus / IP / Uudenmaan vaalipiiri";55;177.583;3
"Haavisto Kai / IP / Uudenmaan vaalipiiri";54;163.923;3
"Holm Stefan / IP / Uudenmaan vaalipiiri";53;152.214;3
"Ikonen Hannu / IP / Uudenmaan vaalipiiri";51;142.067;3
"Finskas Jan / IP / Uudenmaan vaalipiiri";51;133.188;3
"Ronkainen Pasi / IP / Uudenmaan vaalipiiri";49;125.353;3
"Burtsov Jukka-Pekka / IP / Uudenmaan vaalipiiri";49;118.389;3
"Papunen Seppo / IP / Uudenmaan vaalipiiri";43;112.158;3
"Tillanen Eero / IP / Uudenmaan vaalipiiri";42;106.550;3
"Siltanen Marika / IP / Uudenmaan vaalipiiri";36;101.476;3
"Kaivanto Petri / IP / Uudenmaan vaalipiiri";33;96.864;3
"Töyrylä Alice / IP / Uudenmaan vaalipiiri";32;92.652;3
"Pehkonen Jukka / IP / Uudenmaan vaalipiiri";32;88.792;3
"Oksanen Maria / IP / Uudenmaan vaalipiiri";27;85.240;3
"Vilkas Ismo / IP / Uudenmaan vaalipiiri";17;81.962;3
"Anttila Mirja-Liisa / IP / Uudenmaan vaalipiiri";15;78.926;3
"Karvinen Tapani / Piraattip. / Uudenmaan vaalipiiri";692;5893.000;3
"Sammallahti Tere / Piraattip. / Uudenmaan vaalipiiri";679;2946.500;3
"Kantola Roni / Piraattip. / Uudenmaan vaalipiiri";500;1964.333;3
"Parkkinen Tuure / Piraattip. / Uudenmaan vaalipiiri";421;1473.250;3
"Paalijärvi Janne / Piraattip. / Uudenmaan vaalipiiri";381;1178.600;3
"Hentilä Kai / Piraattip. / Uudenmaan vaalipiiri";376;982.167;3
"Keronen Jiri / Piraattip. / Uudenmaan vaalipiiri";348;841.857;3
"Anttila Timo / Piraattip. / Uudenmaan vaalipiiri";305;736.625;3
"Letonsaari Mika / Piraattip. / Uudenmaan vaalipiiri";270;654.778;3
"Lohilahti Janne / Piraattip. / Uudenmaan vaalipiiri";238;589.300;3
"Niemi Sari / Piraattip. / Uudenmaan vaalipiiri";176;535.727;3
"Karlsson Jouni / Piraattip. / Uudenmaan vaalipiiri";175;491.083;3
"Kopakkala Olli / Piraattip. / Uudenmaan vaalipiiri";168;453.308;3
"Mikkola Jaana / Piraattip. / Uudenmaan vaalipiiri";135;420.929;3
"Värne Eena / Piraattip. / Uudenmaan vaalipiiri";125;392.867;3
"Voutilainen Samu / Piraattip. / Uudenmaan vaalipiiri";110;368.313;3
"Kämäräinen Harri / Piraattip. / Uudenmaan vaalipiiri";100;346.647;3
"Laaksonen Joona / Piraattip. / Uudenmaan vaalipiiri";99;327.389;3
"Lönnberg Peter / Piraattip. / Uudenmaan vaalipiiri";96;310.158;3
"Sandström Lennart / Piraattip. / Uudenmaan vaalipiiri";94;294.650;3
"Smolander Sampo / Piraattip. / Uudenmaan vaalipiiri";69;280.619;3
"Ryynänen Tuomo / Piraattip. / Uudenmaan vaalipiiri";68;267.864;3
"Tiainen Tuomas / Piraattip. / Uudenmaan vaalipiiri";66;256.217;3
"Virtaperko Tuukka / Piraattip. / Uudenmaan vaalipiiri";66;245.542;3
"Mäkäräinen Hannu / Piraattip. / Uudenmaan vaalipiiri";40;235.720;3
"Nerve Juhana / Piraattip. / Uudenmaan vaalipiiri";29;226.654;3
"Sid Sebastian / Piraattip. / Uudenmaan vaalipiiri";26;218.259;3
"Vähämartti Pasi / Piraattip. / Uudenmaan vaalipiiri";25;210.464;3
"Pajulahti Matias / Piraattip. / Uudenmaan vaalipiiri";16;203.207;3
"Parkkinen Tiina / KA / Uudenmaan vaalipiiri";118;295.000;3
"Ahoinpelto Elina / KA / Uudenmaan vaalipiiri";79;147.500;3
"Kärnä Tuulia / KA / Uudenmaan vaalipiiri";65;98.333;3
"Havana Kaisu / KA / Uudenmaan vaalipiiri";33;73.750;3
"Vähäkangas Mika / Muut / Uudenmaan vaalipiiri";522;522.000;3
"Tikka Joni / Muut / Uudenmaan vaalipiiri";90;90.000;3
"Eloranta Eeva-Johanna / SDP / Varsinais-Suomen vaalipiiri";6689;40835.000;1
"Taimela Katja / SDP / Varsinais-Suomen vaalipiiri";6017;20417.500;1
"Kantola Ilkka / SDP / Varsinais-Suomen vaalipiiri";5908;13611.667;1
"Maaskola Mika / SDP / Varsinais-Suomen vaalipiiri";4769;10208.750;2
"Laulumaa Janne / SDP / Varsinais-Suomen vaalipiiri";3795;8167.000;3
"Vasama Jaana / SDP / Varsinais-Suomen vaalipiiri";2172;6805.833;3
"Kallio Nina / SDP / Varsinais-Suomen vaalipiiri";1755;5833.571;3
"Nikkanen Saku / SDP / Varsinais-Suomen vaalipiiri";1662;5104.375;3
"Pätäri Taru / SDP / Varsinais-Suomen vaalipiiri";1486;4537.222;3
"Koivusalo Mari-Elina / SDP / Varsinais-Suomen vaalipiiri";1434;4083.500;3
"Kurvinen Kyösti / SDP / Varsinais-Suomen vaalipiiri";1043;3712.273;3
"Ylikännö Minna / SDP / Varsinais-Suomen vaalipiiri";941;3402.917;3
"Järvinen Jere / SDP / Varsinais-Suomen vaalipiiri";890;3141.154;3
"Hällfors-Laaksonen Tuula / SDP / Varsinais-Suomen vaalipiiri";643;2916.786;3
"Baran Nelli / SDP / Varsinais-Suomen vaalipiiri";627;2722.333;3
"Pokki Pertti / SDP / Varsinais-Suomen vaalipiiri";508;2552.188;3
"Salo Maija / SDP / Varsinais-Suomen vaalipiiri";496;2402.059;3
"Elomaa 'Kike' Ritva / PS / Varsinais-Suomen vaalipiiri";9571;50813.000;1
"Tavio Ville / PS / Varsinais-Suomen vaalipiiri";6847;25406.500;1
"Lohela Maria / PS / Varsinais-Suomen vaalipiiri";5583;16937.667;1
"Junnila Vilhelm / PS / Varsinais-Suomen vaalipiiri";4769;12703.250;2
"Aso Janne / PS / Varsinais-Suomen vaalipiiri";3679;10162.600;3
"Heikkilä Lauri / PS / Varsinais-Suomen vaalipiiri";3658;8468.833;3
"Tamminen Heikki / PS / Varsinais-Suomen vaalipiiri";3523;7259.000;3
"Lundén Mikko / PS / Varsinais-Suomen vaalipiiri";2594;6351.625;3
"Haalisto Ilpo / PS / Varsinais-Suomen vaalipiiri";2323;5645.889;3
"Anttila Satu / PS / Varsinais-Suomen vaalipiiri";1867;5081.300;3
"Koski Silvia / PS / Varsinais-Suomen vaalipiiri";1513;4619.364;3
"Leivonen Sanna / PS / Varsinais-Suomen vaalipiiri";1128;4234.417;3
"Katajamäki Mira / PS / Varsinais-Suomen vaalipiiri";1088;3908.692;3
"Tarke Kimmo / PS / Varsinais-Suomen vaalipiiri";740;3629.500;3
"Haapanen Ari-Pekka / PS / Varsinais-Suomen vaalipiiri";721;3387.533;3
"Pilpola Juhani / PS / Varsinais-Suomen vaalipiiri";679;3175.813;3
"Rajamäki Simo / PS / Varsinais-Suomen vaalipiiri";530;2989.000;3
"Auvinen Ville / KD / Varsinais-Suomen vaalipiiri";1708;6319.000;3
"Westergård Håkan / KD / Varsinais-Suomen vaalipiiri";903;3159.500;3
"Vallittu Pertti / KD / Varsinais-Suomen vaalipiiri";499;2106.333;3
"Köpsi Veera / KD / Varsinais-Suomen vaalipiiri";450;1579.750;3
"Viherlampi Jari / KD / Varsinais-Suomen vaalipiiri";324;1263.800;3
"Saarinen Markku / KD / Varsinais-Suomen vaalipiiri";323;1053.167;3
"Pulkkinen Jari / KD / Varsinais-Suomen vaalipiiri";271;902.714;3
"Harjunpää Eva-Maija / KD / Varsinais-Suomen vaalipiiri";268;789.875;3
"Seitz Elina / KD / Varsinais-Suomen vaalipiiri";250;702.111;3
"Kiertokari Vesa / KD / Varsinais-Suomen vaalipiiri";244;631.900;3
"Shelby Jaana / KD / Varsinais-Suomen vaalipiiri";232;574.455;3
"Salo Jarmo / KD / Varsinais-Suomen vaalipiiri";175;526.583;3
"Fältberg Katri / KD / Varsinais-Suomen vaalipiiri";169;486.077;3
"Hannula Raino / KD / Varsinais-Suomen vaalipiiri";146;451.357;3
"Rawstorne Meri / KD / Varsinais-Suomen vaalipiiri";139;421.267;3
